"","year","title","runtimeMinutes","genres","genre1","genre2","genre3","averageRating","numVotes","rating","full_pass","mostly_pass","romance","horror","comedy","mystery","drama","fantasy","thriller","adventure","crime","action","other_genre"
"74",2020,"Run Hide Fight","109","Action,Thriller","Action","Thriller",NA,"6.5",11759,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"75",2020,"Santana","106","Action,Crime,Drama","Action","Crime","Drama","3.8",787,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"76",2020,"Scare Me","104","Comedy,Horror","Comedy","Horror",NA,"5.8",2290,1,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"77",2020,"Scoob","93","Adventure,Animation,Comedy","Adventure","Animation","Comedy","5.7",19209,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"78",2020,"Shirley","107","Biography,Drama,Mystery","Biography","Drama","Mystery","6.2",7905,3,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"79",2020,"Sonic the Hedgehog","99","Action,Adventure,Comedy","Action","Adventure","Comedy","6.5",89370,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"80",2020,"Sputnik","113","Drama,Horror,Sci-Fi","Drama","Horror","Sci-Fi","6.4",14473,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"81",2020,"Stargirl","107","Comedy,Drama,Romance","Comedy","Drama","Romance","6.2",3873,3,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82",2020,"Summerland","99","Drama,Romance,War","Drama","Romance","War","6.9",3017,1,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"83",2020,"Superintelligence","106","Comedy,Romance,Sci-Fi","Comedy","Romance","Sci-Fi","5.3",5339,3,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"84",2020,"Tenet","150","Action,Sci-Fi,Thriller","Action","Sci-Fi","Thriller","7.5",292622,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"85",2020,"Tout simplement noir","90","Comedy","Comedy",NA,NA,"6.3",806,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"86",2020,"Train to Busan Presents: Peninsula","116","Action,Horror,Thriller","Action","Horror","Thriller","5.4",20111,3,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"87",2020,"Trial of the Chicago 7, The","129","Drama,History,Thriller","Drama","History","Thriller","7.8",95594,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"88",2020,"Trolls World Tour","90","Adventure,Animation,Comedy","Adventure","Animation","Comedy","6.1",16644,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"89",2020,"Turning, The","94","Drama,Horror,Mystery","Drama","Horror","Mystery","3.8",9745,3,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90",2020,"Underwater","95","Action,Horror,Sci-Fi","Action","Horror","Sci-Fi","5.8",63356,3,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"91",2020,"Unpregnant","103","Comedy,Drama","Comedy","Drama",NA,"6.2",4638,3,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"92",2020,"Witches, The","106","Adventure,Comedy,Family","Adventure","Comedy","Family","5.3",23307,2,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"93",2020,"Wolfwalkers","103","Adventure,Animation,Family","Adventure","Animation","Family","8.1",12634,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"94",2020,"Wonder Woman 1984","151","Action,Adventure,Fantasy","Action","Adventure","Fantasy","5.4",154890,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"95",2020,"Work It","93","Comedy,Music","Comedy","Music",NA,"6.1",9391,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"96",2019,"1917","119","Drama,Thriller,War","Drama","Thriller","War","8.3",431312,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"97",2019,"47 Meters Down: Uncaged","90","Adventure,Drama,Horror","Adventure","Drama","Horror","5.0",21021,3,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"98",2019,"7500","93","Action,Drama,Thriller","Action","Drama","Thriller","6.3",21113,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"99",2019,"A Beautiful Day in the Neighborhood","109","Biography,Drama","Biography","Drama",NA,"7.3",61831,2,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"100",2019,"A Dark, Dark Man","130","Crime,Drama","Crime","Drama",NA,"6.8",183,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"101",2019,"A Dog&#39;s Journey","109","Adventure,Comedy,Drama","Adventure","Comedy","Drama","7.5",19269,3,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"102",2019,"A New Christmas","79","Drama","Drama",NA,NA,"6.2",280,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",2019,"A.M.I.","77","Horror,Thriller","Horror","Thriller",NA,"3.9",1661,3,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"104",2019,"Abominable","97","Adventure,Animation,Comedy","Adventure","Animation","Comedy","7.0",29519,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"105",2019,"Ad Astra","123","Adventure,Drama,Mystery","Adventure","Drama","Mystery","6.5",199917,1,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"106",2019,"Addams Family, The","86","Animation,Comedy,Family","Animation","Comedy","Family","5.8",28848,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"107",2019,"Aeronauts, The","100","Action,Adventure,Drama","Action","Adventure","Drama","6.6",27458,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"108",2019,"After","105","Drama,Romance","Drama","Romance",NA,"5.3",38704,3,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"109",2019,"After the Wedding","112","Drama","Drama",NA,NA,"6.3",5975,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110",2019,"Aladdin","128","Adventure,Family,Fantasy","Adventure","Family","Fantasy","6.9",228634,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
